NCAA_Link,Year,School,Conf,Class,Pos,G,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF
https://www.sports-reference.com/cfb/players/markus-bailey-1.html,2015,Purdue,Big Ten,FR,LB,2.0,8,1,9,0.0,0.0,0,0,,0,0,0,,,0
https://www.sports-reference.com/cfb/players/markus-bailey-1.html,2016,Purdue,Big Ten,FR,LB,12.0,61,36,97,6.0,0.0,4,44,11.0,0,2,0,,,0
https://www.sports-reference.com/cfb/players/markus-bailey-1.html,*2017,Purdue,Big Ten,SO,LB,13.0,67,22,89,11.0,7.0,1,22,22.0,0,2,1,,,1
https://www.sports-reference.com/cfb/players/markus-bailey-1.html,*2018,Purdue,Big Ten,JR,LB,13.0,82,33,115,9.0,6.5,1,41,41.0,1,2,0,,,1
https://www.sports-reference.com/cfb/players/markus-bailey-1.html,2019,Purdue,Big Ten,SR,LB,2.0,10,4,14,2.0,1.0,0,0,,0,0,0,,,0
https://www.sports-reference.com/cfb/players/markus-bailey-1.html,Career,Purdue,,,,,228,96,324,28.0,14.5,6,107,17.8,1,6,1,,,2
https://www.sports-reference.com/cfb/players/trajan-bandy-1.html,*2017,Miami (FL),ACC,FR,DB,11.0,14,11,25,1.5,0.0,1,65,65.0,1,6,0,,,0
https://www.sports-reference.com/cfb/players/trajan-bandy-1.html,*2018,Miami (FL),ACC,SO,DB,12.0,25,11,36,4.5,0.0,3,13,4.3,0,8,2,,,0
https://www.sports-reference.com/cfb/players/trajan-bandy-1.html,*2019,Miami (FL),ACC,JR,CB,13.0,20,9,29,3.0,3.0,0,0,,0,9,1,,,1
https://www.sports-reference.com/cfb/players/trajan-bandy-1.html,Career,Miami (FL),,,,,59,31,90,9.0,3.0,4,78,19.5,1,23,3,,,1
